Class #,Subject,Cat#,Sect#,Course Name,Hrs,Instructor,Enr Cap,Days,Time Start,Time End,Classroom Type,Room #
17104.0,CHMG,141,603,General and Analytical Chemistry I,3,TBD,30,MW,14:35:00,15:55:00,Regular Classroom (30 Cap),
17515.0,CHMG,141,604,General and Analytical Chemistry I,3,TBD,30,MWF,09:00:00,09:55:00,Regular Classroom (30 Cap),
17022.0,CHMG,142,600,General and Analytical Chemistry II,3,Amawi,30,TR,12:00:00,13:20:00,Regular Classroom (30 Cap),
16967.0,CHMG,145,600,General and Analytical Chemistry I Lab,3,TBD,30,TR,13:30:00,14:50:00,Chemistry Lab (B106),
17537.0,MATH,90,601,Algebra,3,TBD,30,TR,12:00:00,13:20:00,Regular Classroom (46 Cap),
16670.0,MATH,101,600,College Algebra,3,Naghshineh,30,TR,10:30:00,11:50:00,Regular Classroom (46 Cap),
16933.0,MATH,101,601,College Algebra,3,Moidu,30,MW,14:35:00,15:55:00,Regular Classroom (46 Cap),
17106.0,MATH,101,602,College Algebra,3,Farman,30,TR,09:00:00,10:20:00,Regular Classroom (46 Cap),
17538.0,MATH,101,603,College Algebra,3,TBD,30,TR,13:30:00,14:50:00,Regular Classroom (46 Cap),
16672.0,MATH,111,600,Precalculus,3,Farman,30,MWF,09:00:00,09:55:00,Regular Classroom (46 Cap),
16893.0,MATH,111,60R1,Precalculus Recitation,3,Farman,30,F,11:10:00,12:05:00,Regular Classroom (46 Cap),
16677.0,MATH,111,601,Precalculus,3,Moidu,30,TR,15:00:00,16:20:00,Regular Classroom (46 Cap),
16894.0,MATH,111,60R2,Precalculus Recitation,3,Moidu,30,F,10:05:00,11:00:00,Regular Classroom (46 Cap),
17001.0,MATH,111,602,Precalculus,3,TBD,30,TR,13:30:00,14:50:00,Regular Classroom (46 Cap),
17002.0,MATH,111,60R3,Precalculus Recitation,3,TBD,30,F,09:00:00,09:55:00,Regular Classroom (46 Cap),
16678.0,MATH,161,600,Applied Calculus,4,Naghshineh,30,MW,09:00:00,10:50:00,Regular Classroom (46 Cap),
16920.0,MATH,161,601,Applied Calculus,4,Naghshineh,30,MW,13:05:00,14:55:00,Regular Classroom (46 Cap),
16995.0,MATH,161,602,Applied Calculus,4,Naghshineh,30,TR,12:00:00,13:50:00,Regular Classroom (46 Cap),
17088.0,MATH,161,603,Applied Calculus,4,TBD,30,MW,16:05:00,17:55:00,Regular Classroom (46 Cap),
17539.0,MATH,161,604,Applied Calculus,4,TBD,30,MW,10:05:00,12:05:00,Regular Classroom (46 Cap),
16682.0,MATH,181,600,Calculus I,6,Sayyad,30,TR,09:00:00,11:50:00,Regular Classroom (46 Cap),
16682.0,MATH,181,600,Recitation,6,Farman,30,TR,09:00:00,11:50:00,Regular Classroom (46 Cap),
16683.0,MATH,181,601,Calculus I,6,Sayyad,30,MW,14:35:00,17:25:00,Regular Classroom (46 Cap),
16683.0,MATH,181,601,Recitation,6,Farman,30,MW,14:35:00,17:25:00,Regular Classroom (46 Cap),
16684.0,MATH,181,602,Calculus I,6,Al-Khamaiseh,30,TR,12:00:00,14:50:00,Regular Classroom (46 Cap),
16684.0,MATH,181,602,Recitation,6,Farman,30,TR,12:00:00,14:50:00,Regular Classroom (46 Cap),
17077.0,MATH,181,603,Calculus I,6,Al-Khamaiseh,30,TR,15:00:00,17:50:00,Regular Classroom (46 Cap),
17077.0,MATH,181,603,Recitation,6,TBD,30,TR,15:00:00,17:50:00,Regular Classroom (46 Cap),
17540.0,MATH,181,604,Calculus I,6,Al-Khamaiseh,30,MW,09:00:00,10:50:00,Regular Classroom (46 Cap),
17540.0,MATH,181,604,Recitation,6,Farman,30,F,09:00:00,10:50:00,Regular Classroom (46 Cap),
16686.0,MATH,182,600,Calculus II,6,Borghol,30,TR,09:00:00,11:50:00,Regular Classroom (46 Cap),
16686.0,MATH,182,600,Recitation,6,Farman,30,TR,09:00:00,11:50:00,Regular Classroom (46 Cap),
16687.0,MATH,182,601,Calculus II,6,Borghol,30,MW,10:05:00,12:05:00,Regular Classroom (46 Cap),
16687.0,MATH,182,601,Recitation,6,Farman,30,F,10:05:00,12:05:00,Regular Classroom (46 Cap),
16693.0,MATH,190,600,Discrete Math for Computing,3,TBD,30,MW,16:05:00,17:25:00,Regular Classroom (30 Cap),
17542.0,MATH,190,60R1,Recitation,3,TBD,30,F,15:00:00,15:55:00,Regular Classroom (30 Cap),
17541.0,MATH,190,601,Discrete Math for Computing,3,Al-Khamaiseh,30,MW,13:05:00,14:25:00,Regular Classroom (30 Cap),
17543.0,MATH,190,60R2,Recitation,3,Al-Khamaiseh,30,F,14:00:00,14:55:00,Regular Classroom (30 Cap),
16694.0,MATH,219,600,Multivariable Calculus,3,Ahmad,30,TR,15:00:00,16:20:00,Regular Classroom (30 Cap),
17071.0,MATH,220,600,Vector Calculus,1,Ahmad,30,M,11:10:00,12:05:00,Regular Classroom (30 Cap),
17544.0,MATH,221,600,Multivar & Vector Calculus,4,Maki,30,TR,15:00:00,17:00:00,Regular Classroom (30 Cap),
17848.0,MATH,221,601,Multivar & Vector Calculus,4,Maki,30,TR,15:00:00,17:00:00,Regular Classroom (30 Cap),
16696.0,MATH,231,600,Differential Equations,3,Borghol,30,MW,13:05:00,14:25:00,Regular Classroom (30 Cap),
17752.0,MATH,231,60R1,Recitation,0,Borghol,30,F,14:00:00,14:55:00,Regular Classroom (30 Cap),
16869.0,MATH,241,601,Linear Algebra,3,Al-Khamaiseh,30,TR,16:30:00,17:50:00,Regular Classroom (30 Cap),
16699.0,MATH,251,600,Probability & Stats I,3,Manisha Kankarej,30,TR,16:30:00,17:50:00,Regular Classroom (30 Cap),
17652.0,MATH,251,60R1,Recitation,3,Manisha Kankarej,30,F,14:00:00,14:55:00,Regular Classroom (30 Cap),
