Class #,Subject,Cat#,Sect#,Course Name,Hrs,Instructor,Enr Cap,Days,Time Start,Time End,Classroom Type,Room #
,,,,COMPUTING,,,,,,,,
50303,GCIS,123,600,Software Devel and Problem Solving I,6.0,Mehtab,30,MWF,09:00:00,10:50:00,Regular Classroom (30 Cap),
50350,GCIS,123,601,Software Devel and Problem Solving I,6.0,Mehtab,30,TR,09:00:00,11:50:00,Regular Classroom (30 Cap),
50465,GCIS,123,602,Software Devel and Problem Solving I,6.0,TBD,30,MW,14:35:00,17:25:00,Regular Classroom (30 Cap),
57295,GCIS,123,603,Software Devel and Problem Solving I,6.0,Ali Assi,30,TR,09:00:00,11:50:00,Regular Classroom (30 Cap),
57296,GCIS,123,604,Software Devel and Problem Solving I,6.0,Danilo Kovacevic,30,TR,15:00:00,17:50:00,Regular Classroom (30 Cap),
50304,GCIS,124,600,Software Devel and Problem Solving II,6.0,Danilo Kovacevic,30,MWF,09:00:00,10:50:00,Regular Classroom (30 Cap),
50305,GCIS,124,601,Software Devel and Problem Solving II,6.0,Mehtab,30,TR,12:00:00,14:50:00,Regular Classroom (30 Cap),
50306,GCIS,124,602,Software Devel and Problem Solving II,6.0,Mehtab,30,MW,14:35:00,17:25:00,Regular Classroom (30 Cap),
50307,GCIS,124,603,Software Devel and Problem Solving II,6.0,Akpinar,30,TR,12:00:00,14:50:00,Regular Classroom (30 Cap),
50426,GCIS,124,604,Software Devel and Problem Solving II,6.0,Danilo Kovacevic,30,TR,09:00:00,11:50:00,Regular Classroom (30 Cap),
50427,GCIS,124,605,Software Devel and Problem Solving II,6.0,Danilo Kovacevic,30,MW,13:05:00,15:55:00,Regular Classroom (30 Cap),
50140,ISTE,230,600,Intro to Database,3.0,Al-Tawli,30,TR,09:00:00,10:20:00,Regular Classroom (30 Cap),online
50417,ISTE,230,601,Intro to Database,3.0,Al-Tawli,30,MWF,09:00:00,09:55:00,Regular Classroom (30 Cap),online
57305,ISTE,230,602,Intro to Database,3.0,Ali Assi,30,MW,13:05:00,14:25:00,Regular Classroom (30 Cap),online
57306,ISTE,230,603,Intro to Database,3.0,Ali Assi,30,TR,13:30:00,14:50:00,Regular Classroom (30 Cap),online
50285,NSSA,221,600,Systems Administration I,2.0,Qatawneh,24,M,13:05:00,14:55:00,Regular Classroom (30 Cap),online
50286,NSSA,221,60L1,Systems Administration I Lab,2.0,Hassib,24,W,13:05:00,14:55:00,Computing Security Lab (D316),online
50430,NSSA,221,601,Systems Administration I,2.0,Qatawneh,24,W,13:05:00,14:55:00,Regular Classroom (30 Cap),online
50431,NSSA,221,60L2,Systems Administration I Lab,2.0,Hassib,24,M,13:05:00,14:55:00,Computing Security Lab (D316),online
50432,NSSA,221,602,Systems Administration I,2.0,Qatawneh,24,T,09:00:00,10:50:00,Regular Classroom (30 Cap),online
50433,NSSA,221,60L3,Systems Administration I Lab,2.0,Hassib,24,R,09:00:00,10:50:00,Computing Security Lab (D316),online
57414,NSSA,221,603,Systems Administration I,2.0,TBD,24,R,09:00:00,10:50:00,Regular Classroom (30 Cap),online
57415,NSSA,221,60L4,Systems Administration I Lab,2.0,TBD,24,T,09:00:00,10:50:00,Computing Security Lab (D316),online
50063,NSSA,241,600,Intro to Routing and Switching,2.0,TBD,24,M,13:05:00,14:55:00,Regular Classroom (30 Cap),online
50064,NSSA,241,60L1,Intro to Routing and Switching Lab,2.0,Hassib,24,W,13:05:00,14:55:00,Computer Networking Lab (D313),online
50254,NSSA,241,601,Intro to Routing and Switching,2.0,TBD,24,W,13:05:00,14:55:00,Regular Classroom (30 Cap),online
50255,NSSA,241,60L2,Intro to Routing and Switching Lab,2.0,Hassib,24,M,13:05:00,14:55:00,Computer Networking Lab (D313),online
50413,NSSA,241,602,Intro to Routing and Switching,2.0,TBD,24,T,11:10:00,13:00:00,Regular Classroom (30 Cap),online
50415,NSSA,241,60L3,Intro to Routing and Switching Lab,2.0,Hassib,24,R,11:10:00,13:00:00,Computer Networking Lab (D313),online
50414,NSSA,241,603,Intro to Routing and Switching,2.0,TBD,24,R,11:10:00,13:00:00,Regular Classroom (30 Cap),online
50416,NSSA,241,60L4,Intro to Routing and Switching Lab,2.0,Hassib,24,T,11:10:00,13:00:00,Computer Networking Lab (D313),online
57299,NSSA,241,604,Intro to Routing and Switching,2.0,TBD,24,T,13:05:00,14:55:00,Regular Classroom (30 Cap),online
57300,NSSA,241,60L5,Intro to Routing and Switching Lab,2.0,Hassib,24,R,13:05:00,14:55:00,Computer Networking Lab (D313),online
50142,NSSA,245,600,Network Services,2.0,Omar Abdul Latif,24,M,10:05:00,11:55:00,Regular Classroom (30 Cap),online
50143,NSSA,245,60L1,Network Services Lab,2.0,Hassib,24,W,10:05:00,11:55:00,Computer Networking Lab (D313),online
50434,NSSA,245,601,Network Services,2.0,Omar Abdul Latif,24,W,10:05:00,11:55:00,Regular Classroom (30 Cap),online
50435,NSSA,245,60L2,Network Services Lab,2.0,Hassib,24,M,10:05:00,11:55:00,Computer Networking Lab (D313),online
57207,NSSA,245,602,Network Services,2.0,Omar Abdul Latif,24,T,09:00:00,10:50:00,Regular Classroom (30 Cap),online
57210,NSSA,245,60L3,Network Services Lab,2.0,Hassib,24,R,09:00:00,10:50:00,Computer Networking Lab (D313),online
57208,NSSA,245,603,Network Services,2.0,TBD,24,R,09:00:00,10:50:00,Regular Classroom (30 Cap),online
57211,NSSA,245,60L4,Network Services Lab,2.0,Hassib,24,T,09:00:00,10:50:00,Computer Networking Lab (D313),online
57209,NSSA,245,604,Network Services,2.0,TBD,24,W,09:00:00,10:50:00,Regular Classroom (30 Cap),online
57212,NSSA,245,60L5,Network Services Lab,2.0,Hassib,24,F,09:00:00,10:50:00,Computing Security Lab (D316),online
57301,SWEN,256,600,Software Process and Project Management,3.0,Almajali ???,30,MWF,09:00:00,09:55:00,Computing Security Lab (D316),online
50369,SWEN,262,600,Engineering of Software Subsystems,3.0,Saadeh,30,TR,09:00:00,10:20:00,Open Computer Lab (D112),online
,,,,BS COMPUTING SECURITY,,,,,,,,
50056,CSEC,99,600,Coop Education Seminar,1.0,TBD,24,TR,09:00:00,10:20:00,Open Computer Lab (D112),online
50315,CSEC,99,601,Coop Education Seminar,1.0,TBD,24,TR,09:00:00,10:20:00,Open Computer Lab (D112),online
50246,CSEC,140,600,Introduction to Cybersecurity,3.0,Qusai Hassan,30,TR,13:30:00,14:50:00,Regular Classroom (30 Cap),online
57546,CSEC,201,600,Programming for Information Security,3.0,Saadeh,30,TR,13:30:00,14:50:00,Regular Classroom (30 Cap),online
50239,CSEC,202,600,Reverse Engineering Fundamentals,3.0,Abu Khusa ?,30,TR,12:00:00,13:20:00,Regular Classroom (30 Cap),online
50382,CSEC,202,601,Reverse Engineering Fundamentals,3.0,Abu Khusa ?,30,MW,13:05:00,14:25:00,Regular Classroom (30 Cap),online
57303,CSEC,202,602,Reverse Engineering Fundamentals,3.0,Abu Khusa ?,30,TR,13:30:00,14:50:00,Regular Classroom (30 Cap),online
50139,CSEC,380,600,Prin Web Application Security,3.0,Wesam Almobaideen,30,MW,13:05:00,14:25:00,Regular Classroom (30 Cap),D207
57256,CSEC,380,601,Prin Web Application Security,3.0,TBD,30,TR,10:30:00,11:50:00,Regular Classroom (30 Cap),D207
50184,CSEC,462,600,Network Security and Forensics,2.0,Akpinar,24,W,09:00:00,10:50:00,Regular Classroom (30 Cap),D207
50194,CSEC,462,600L,NW Security and Forensics Lab,2.0,Akpinar,24,F,09:00:00,10:50:00,Computing Security Lab (D316),D207
50289,CSEC,464,600,Computer Systems Forensics,3.0,Khalil AlHussaeni,30,M,18:00:00,21:00:00,Computing Security Lab (D316),D207
50289,CSEC,470,600,Covert Communications,3.0,Khalil AlHussaeni,30,M,18:00:00,21:00:00,Computing Security Lab (D316),D207
50388,CSEC,471,600,Penetration Testing Frameworks & Methodologies,3.0,Akpinar,TBD,TR,09:00:00,10:20:00,Regular Classroom (30 Cap),D207
57310,CSEC,471,601,Penetration Testing Frameworks & Methodologies,3.0,Akpinar,TBD,MW,14:35:00,15:55:00,Open Computer Lab (D112),D207
50290,CSEC,472,600,Authent. & Security Models,3.0,Wesam Almobaideen,30,TR,12:00:00,13:20:00,Open Computer Lab (D112),D207
57218,CSEC,472,601,Authent. & Security Models,3.0,Wesam Almobaideen,30,MW,14:35:00,15:55:00,Open Computer Lab (D112),Hidden
57219,CSEC,490,600,Capstone in CSEC,3.0,Osama Abdulrahman,30,TR,16:30:00,17:50:00,Open Computer Lab (D112),Hidden
50161,CSEC,499,600,Coop Ed in CSEC,0.0,TBD,30,TR,16:30:00,17:50:00,Open Computer Lab (D112),Hidden
57220,CSEC,520,600,Cyber Analytics and Machine Learning,3.0,TBD,30,MW,13:05:00,14:25:00,Regular Classroom (30 Cap),Hidden
,,,,BS CIT,,,,,,,,
50275,CSEC,102,600,Information Assurance and Security,3.0,TBD,30,TR,12:00:00,13:20:00,Regular Classroom (30 Cap),Hidden
50276,CSEC,102,601,Information Assurance and Security,3.0,TBD,30,MW,15:00:00,16:20:00,Regular Classroom (30 Cap),Hidden
50419,CSEC,102,602,Information Assurance and Security,3.0,TBD,30,TR,09:00:00,10:20:00,Regular Classroom (30 Cap),Hidden
57204,CSEC,102,603,Information Assurance and Security,3.0,TBD,30,MWF,09:00:00,09:55:00,Regular Classroom (30 Cap),Hidden
57302,CSEC,102,604,Information Assurance and Security,3.0,TBD,30,MWF,11:10:00,12:05:00,Regular Classroom (30 Cap),Hidden
50057,ISTE,99,600,IST 2nd Year Seminar,1.0,TBD,24,MWF,11:10:00,12:05:00,Regular Classroom (30 Cap),Hidden
50141,ISTE,240,600,Web & Mobile II,3.0,Saadeh,28,TR,10:30:00,11:50:00,Regular Classroom (30 Cap),Hidden
50399,ISTE,240,601,Web & Mobile II,3.0,Saadeh,28,MW,13:05:00,14:25:00,Regular Classroom (30 Cap),Hidden
57230,ISTE,240,602,Web & Mobile II,3.0,Saadeh,28,MW,16:05:00,17:25:00,Regular Classroom (30 Cap),Hidden
50400,ISTE,330,600,Database Connectivity and Access (concentration),3.0,Khalil AlHussaeni,TBD,TR,13:30:00,14:50:00,Regular Classroom (30 Cap),Hidden
50428,ISTE,430,600,Information Requirement Modeling,3.0,Martin Zager,30,MW,13:05:00,14:25:00,Regular Classroom (30 Cap),Hidden
50162,ISTE,499,600,Undergrad Coop,0.0,TBD,30,MW,13:05:00,14:25:00,Regular Classroom (30 Cap),Hidden
50059,ISTE,501,600,CIT Senior Devel Project II,3.0,Osama Abdulrahman,30,TR,16:30:00,17:50:00,Digital Transformation Lab (D018),Hidden
50061,NSSA,102,600,Comp System Concepts,2.0,Qusai Hassan,30,T,09:00:00,10:50:00,Regular Classroom (30 Cap),Hidden
50062,NSSA,102,60L1,Comp System Concepts Lab,2.0,Qusai Hassan,30,R,09:00:00,10:50:00,Regular Classroom (30 Cap),lab is preferrable
57315,NSSA,102,601,Comp System Concepts,2.0,Qusai Hassan,30,M,09:00:00,10:50:00,Regular Classroom (30 Cap),lab is preferrable
57316,NSSA,102,60L2,Comp System Concepts Lab,2.0,Qusai Hassan,30,W,09:00:00,10:50:00,Regular Classroom (30 Cap),lab is preferrable
57317,NSSA,102,602,Comp System Concepts,2.0,Qusai Hassan,30,M,13:05:00,14:55:00,Regular Classroom (30 Cap),lab is preferrable
57318,NSSA,102,60L3,Comp System Concepts Lab,2.0,Qusai Hassan,30,W,13:05:00,14:55:00,Regular Classroom (30 Cap),lab is preferrable
57416,NSSA,244,600,Virtualization,3.0,Omar Abdul Latif,30,TR,12:00:00,13:20:00,Regular Classroom (30 Cap),lab is preferrable
57320,NSSA,370,600,Project management,3.0,Almajali,30,TR,09:00:00,10:20:00,Regular Classroom (30 Cap),Online
50436,NSSA,441,600,Advanced Routing and Switching,3.0,TBD,30,MW,13:05:00,14:25:00,Computer Networking Lab (D313),Online
50230,NSSA,443,600,Network design and performance,3.0,TBD,30,MW,14:35:00,15:55:00,Computer Networking Lab (D313),Online
